num;enonce;reponseA;reponseB;reponseC;reponseD;bonne_reponse;chapitre;image
1;Quelle est l'écriture en base 2 du nombre $(154)_{10}$ ?;10011100;10011001;11010;10011010;D;10;
2;Que peut-on dire de l'écriture en base 2 d'un nombre divisible par 2 ?;Elle ne contient pas de 0;Elle se termine par 0;Elle ne contient qu'un seul 1;Elle contient deux 1;B;10;
3;Quelle est l'écriture en base 10 du nombre $(01101100)_{2}$ ?;216;108;54;4;B;10;
4;Quelle est l'écriture en base 16 du nombre $(165)_{10}$ ?;95;A5;B5;C5;B;10;
5;En base 12, combien il y a-t-il de chiffres ?;10;11;12;13;C;10;
6;Si l'écriture en base 2 d'un nombre ne comporte qu'un seul 1, alors ce nombre :;n'est pas une puissance 2;est une puissance de 2;est divisible par 2;n'est pas divisible par 2;B;10;
7;Quelle est l'écriture en base 10 du nombre $(B2)_{16}$ ?;112;162;178;194;C;10;
8;Pour écrire les nombres entre 1 et 100 en base 2, on a besoin au maximum de :;5 chiffres;6 chiffres;7 chiffres;8 chiffres;C;10;
9;Quelle est l'affirmation exacte ?;Le codage UTF-8 est sur 7 bits.;Le codage UTF-8 est sur 1 octet.;Le codage UTF-8 est sur 1 à 4 octets.;Le codage UTF-8 est sur 4 octets.;C;10;
10;On a écrit une fonction qui prend en paramètre une liste non vide et qui renvoie son plus grand élément. Combien de tests faudrait-il écrire pour garantir que la fonction donne un résultat correct pour toute liste ?;Il faudrait écrire une infinité de tests, on ne peut pas prouver que cette fonction est correct simplement en la testant;Deux tests : pour une liste à un élément et pour une liste à deux éléments ou plus.;Trois tests : pour une liste vide, pour une liste à un élément et pour une liste à deux éléments ou plus.;Deux tests : pour le cas où le plus grand élément est en début de liste et pour le cas où le plus grand élément n'est pas en début de liste;A;4;
11;"Quelle affirmation concernant la fonction ci-dessous (où `x` et `y` sont des entiers naturels) est fausse ? 
```python
def f(x,y):
    s=x
    t=y
    while t>0:
        s=s+1
        t=t-1
    return s
```
";La propriété `s+t=x+y` est un invariant de boucle;La valeur finale de `t` est 1;"La propriété ""`t` est supérieur ou égal à 0"""""" est un invariant de boucle""";Le résultat renvoyé est égal à la somme `x+y`;A;9;
12;"Donner un invariant de boucle de l'algorithme suivant qui permet de calculer la somme des `N` premiers entiers (où `N` est un nombre entier) :
```python
i=0
while i<N:
    i=i+1
    somme=somme+i
```
";`somme = 0+1+2+...+i` et `i<N`;`somme = 0+1+2+...+N` et `i<N`;`somme = 0+1+1+...+i` et `i<N+1`;`somme = 0+1+2+...+N` et `i<N+1`;B;9;
13;"Quel test va permettre de détecter l'erreur dans la fonction Python suivante qui ne calcule pas toujours correctement le résultat de $x^y$ (avec $x$ et $y$ entiers) ?
```python
def puissance(x,y);
    p=x
    for i in range(y-1):
        p=p*x
    return p
```";`puissance(2,0)`;`puissance(2,1)`;`puissance(2,2)`;`puissance(2,10)`;A;4;
14;Pour pouvoir utiliser un algorithme de recherche par dichotomie dans une liste, quelle précondition doit être vraie ?;La liste doit être triée.;La liste ne doit pas comporter de doublons.;La liste doit comporter uniquement des entiers positifs.;La liste doit être de longueur inférieure à 1024.;A;9;
